iso,country_name,year,A1,A2,A3,A_avg,B4,B5,B6,B_avg,C7,C8,C9,C10,C11,C_avg,D12,D13,D14,D15,D16,D_avg,portfolio,overall_rating,data_source
NRU,Nauru,2014,3,3,2,2.7,3.5,1,2,2.2,3,3,3,3.5,2.5,3,2.5,4,3,3,3,3.1,4,2.7,ADB_CPA
NRU,Nauru,2015,3,3,2,2.7,3.5,1,2,2.2,3,3,3,3.5,2.5,3,2.5,4,3,3,3,3.1,4,2.7,ADB_CPA
NRU,Nauru,2016,3,3,1.5,2.5,3.5,1,2,2.2,3,3,3.5,3.5,1.5,2.9,2.5,3.5,3,2.5,2.5,2.8,2.5,2.6,ADB_CPA
NRU,Nauru,2017,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
NRU,Nauru,2018,3,3,1.5,2.5,3.5,1,2,2.2,3,3,3,3.5,1.5,2.8,2.5,3.5,3,2.5,2.5,2.8,4.5,2.6,ADB_CPA
NRU,Nauru,2019,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
NRU,Nauru,2020,3,3,1.5,2.5,3.5,1.5,2,2.3,3,3,3,3.5,2,2.9,2.5,3.5,3,2.5,2.5,2.8,4.5,2.6,ADB_CPA
NPL,Nepal,2010,4,4,4,4,4.5,4,3.5,4,4,4.5,4,4,4.5,4.2,3,4,5,3.5,3.5,3.8,3.5,4,ADB_CPA
NPL,Nepal,2011,4.5,4,4,4.2,4.5,4,3.5,4,4,5,4,4,4.5,4.3,3,4.5,5,3.5,3.5,3.9,4,4.1,ADB_CPA
NPL,Nepal,2012,4.5,4,4.5,4.3,4.5,4,3.5,4,4.5,5,4,4.5,4.5,4.5,3,4,5,3.5,3.5,3.8,3,4.2,ADB_CPA
NPL,Nepal,2013,4.5,3.5,4,4,4.5,4,3.5,4,4,4,4,4,4.5,4.1,3,4,5,3.5,3.5,3.8,3,4,ADB_CPA
NPL,Nepal,2014,4.5,3.5,4,4,4.5,4,4,4.2,4,4,4.5,4,4,4.1,3.5,4,5,3.5,3.5,3.9,4.5,4,ADB_CPA
NPL,Nepal,2015,4.5,3.5,4,4,4.5,4,4,4.2,4,4,4.5,4,4,4.1,3.5,4,5,3.5,3.5,3.9,4,4,ADB_CPA
NPL,Nepal,2016,4.5,3.5,4,4,4,4,4,4,4,4,4.5,4,3.5,4,3.5,4,5,3.5,3.5,3.9,4.5,4,ADB_CPA
NPL,Nepal,2017,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
