iso,country_name,year,fsi_total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,data_source
PAK,Pakistan,2018,96.3,8.8,8.9,9.7,6.6,6.2,7.1,7.8,7.9,7.7,8.1,8.4,9.1,FSI
PNG,Papua New Guinea,2018,84.8,6.9,7.1,6,6.1,9.1,7.4,6.5,9.1,7.3,7.8,4.9,6.5,FSI
PHL,Philippines,2018,85.5,9.8,8,8.2,5.2,5.4,6.3,7.5,6.4,7.1,7.5,7.2,6.9,FSI
WSM,Samoa,2018,65.5,4.4,5.1,4.2,6.6,4.6,9.4,5.2,4.6,4,5.4,2.6,9.5,FSI
SGP,Singapore,2018,30.4,1.3,4,2.3,1.7,3.5,3,3.9,1,4.9,2.2,1.4,1.2,FSI
SLB,Solomon Islands,2018,83.1,5.9,8.2,6.2,7.4,8.7,7.2,6.5,7.5,4.9,8,4.1,8.5,FSI
KOR,South Korea,2018,35.7,2.4,3.9,2.6,2,2.7,3.7,3.9,1.6,3.2,2.6,1.9,5.3,FSI
LKA,Sri Lanka,2018,84.9,7.1,8.8,8.7,5.5,6.8,7.4,6.6,4.8,8.4,6.7,8.1,6,FSI
TJK,Tajikistan,2018,79.5,6.4,8.4,7.1,7,4.5,6.1,9.1,5.3,8.3,7.6,4.1,5.6,FSI
THA,Thailand,2018,75,8.7,9.4,8.2,3.4,5,5,7.6,4.1,8,6.5,5.6,3.5,FSI
TLS,Timor-Leste,2018,88.3,6.9,8.3,6.2,7.6,7.1,7.9,6.4,8.2,5,9.5,6,9.2,FSI
TKM,Turkmenistan,2018,72.6,6,7.8,6.3,4.8,6.7,5,9.7,5.3,8.7,5.4,3.2,3.8,FSI
UZB,Uzbekistan,2018,79.1,7.1,8.8,6.9,6.1,6.7,5.8,9.5,4.7,8.7,5.4,5.3,4.1,FSI
VNM,Vietnam,2018,68.4,4.3,6.9,5.7,4.8,4.7,6.2,8.3,4.4,7.7,5.8,4.4,5.2,FSI
AFG,Afghanistan,2017,107.3,10,8.6,8.4,8.3,7.5,8.2,9.1,9.9,8.5,9.3,9.8,9.7,FSI
ARM,Armenia,2017,71,5.5,7.4,6.1,6.3,4.5,6.2,7.6,3.6,7,3.1,7,6.7,FSI
AUS,Australia,2017,22.3,2.1,1.7,3.9,1.7,2.2,1.3,1,1.5,2.3,1.3,2.3,1,FSI
AZE,Azerbaijan,2017,76.3,6.2,7.9,6.5,4.1,5.9,4.3,8.8,5.4,8.5,4.6,7.7,6.4,FSI
BGD,Bangladesh,2017,89.1,7.6,9.3,8.7,5.8,6.7,7.8,7.8,8.1,7.4,7.5,6.6,5.8,FSI
BTN,Bhutan,2017,76,4.5,7.5,7.9,4.7,6.1,7.2,4.3,6.1,6.6,6.1,7,8,FSI
BRN,Brunei Darussalam,2017,61.6,5.1,7.4,5.9,3.5,7.8,4.6,8.3,1.8,7.7,3.7,2.2,3.6,FSI
KHM,Cambodia,2017,85.7,6.7,8.3,6.9,5.7,6.6,7.6,8.3,7.8,7.7,7,5.7,7.4,FSI
CHN,China,2017,74.7,5.9,7.2,7.9,4.4,7.3,4.9,8.6,5.7,8.5,6.7,4.9,2.7,FSI
FJI,Fiji,2017,76.9,7.1,7.9,6.9,6.5,6.3,8.2,6.9,5,6.9,4.9,3.1,7.2,FSI
GEO,Georgia,2017,76.5,6.8,9.1,7.9,5.5,5.5,4.9,8.3,4.3,5.6,3.7,7.5,7.4,FSI
IND,India,2017,77.9,7.4,7.3,8.3,5.1,7,6.1,4.7,7.4,6,7.9,5.3,5.4,FSI
IDN,Indonesia,2017,72.9,6.2,7,7.1,4.5,5.8,6.9,5.1,5.9,7.2,6.6,5.4,5.2,FSI
JPN,Japan,2017,37.4,1.6,2.6,3.7,4.1,1.6,3.2,1.2,2.2,3,6,4.4,3.8,FSI
KAZ,Kazakhstan,2017,65.9,5.2,7.6,7.6,6.4,4.2,3.6,8.3,4,7.3,4.5,3,4.2,FSI
KGZ,Kyrgyz Republic,2017,80.3,6.5,8,8.4,7,5.9,7,7.7,5.1,7.5,5.5,5.3,6.4,FSI
LAO,Laos,2017,82.4,5.5,8.3,6.6,5.2,6.6,7.7,9.1,7,7.9,7.3,5.1,6.1,FSI
MYS,Malaysia,2017,65.4,6.3,6.8,6.5,3.1,5,5,7.7,4.2,8,5.3,3.7,3.8,FSI
MDV,Maldives,2017,74.4,6.4,8,4.8,5.9,3.6,6.2,8.5,5.6,8.2,6,4.7,6.5,FSI
