iso,year,migrant_stock,refugee_stock,disaster_displacement,conflict_displacement,climate_change,air_quality,rule_of_law,gov_effectiveness,corruption_control,state_legit,cpa_d_12,cpa_d_avg,gdp,hdi_value,gini,country_name,region,donor,sids,ldc
MHL,2006,NA,NA,NA,NA,NA,74.2,0.0318772,-1.156603,-0.5547745,NA,3,2.7,3.041572671,NA,NA,Marshall Islands,Oceania,0,1,0
MMR,2006,NA,NA,NA,NA,73.8,27.4,-1.533385,-1.453449,-1.6579529999999998,0.8000000000000007,NA,NA,0.6099960293,0.471,NA,Myanmar,Southeast Asia,0,0,0
MNG,2006,NA,NA,NA,NA,57.5,28.5,-0.3195785,-0.4841076,-0.5846398,3.8,3.5,3.6,2.216922881,0.659,NA,Mongolia,East Asia,0,0,0
MYS,2006,NA,NA,NA,NA,61.9,79.8,0.4673473,1.267115,0.2340544,4.1,NA,NA,7.531364872,0.737,44.8,Malaysia,Southeast Asia,1,0,0
NPL,2006,NA,NA,NA,NA,98.1,35.9,-0.6230243000000001,-0.9054664000000001,-0.6936904,0.8000000000000007,3,3.3,0.6306874562,0.493,NA,Nepal,South Asia,0,0,1
NRU,2006,NA,NA,NA,NA,NA,NA,0.9949803,NA,NA,NA,0,0,3.6688740789999996,NA,NA,Nauru,Oceania,1,1,0
NZL,2006,NA,NA,NA,NA,71.1,83.7,1.8082220000000002,1.5878809999999999,2.333123,9,NA,NA,35.637607239999994,0.898,NA,New Zealand,Oceania,1,0,0
PAK,2006,NA,NA,NA,NA,67.4,8.2,-0.8564096,-0.375228,-0.8135825,1.5,3,3.4,1.216555531,0.492,NA,Pakistan,South Asia,0,0,0
PHL,2006,NA,NA,NA,NA,82,61.4,-0.4109581,-0.13134690000000002,-0.8302639,2.2,NA,NA,2.1493299379999997,0.656,47.2,Philippines,Southeast Asia,0,0,0
PLW,2006,NA,NA,NA,NA,NA,85.98,0.9949803,NA,NA,NA,0,0,13.3127603,0.774,NA,Palau,Oceania,0,1,0
PNG,2006,NA,NA,NA,NA,75.9,73.7,-0.8270267,-0.7484823,-1.135809,2.2,1.5,2.7,1.9442962329999998,0.485,NA,Papua New Guinea,Oceania,0,1,0
SGP,2006,NA,NA,NA,NA,48.57,44.625,1.586578,2.2124740000000003,2.185165,6.5,NA,NA,44.08229215,0.881,NA,Singapore,Southeast Asia,1,1,0
SLB,2006,NA,NA,NA,NA,40.8,77.3,-0.6041251999999999,-1.008063,-0.2189573,NA,2.5,2.8,1.8710278269999998,0.519,NA,Solomon Islands,Oceania,0,1,1
THA,2006,NA,NA,NA,NA,71.1,47.5,-0.055772699999999995,0.4517170999999999,-0.38426409999999994,3.2,NA,NA,4.603752447,0.697,41.8,Thailand,Southeast Asia,1,0,0
TJK,2006,NA,NA,NA,NA,98.2,40.7,-1.178524,-1.057266,-1.033867,1.0999999999999996,3,2.9,0.6619430058999999,0.617,NA,Tajikistan,Central and West Asia,0,0,0
TKM,2006,NA,NA,NA,NA,58.2,32.4,-1.640511,-1.52604,-1.523663,0.9000000000000004,NA,NA,3.056916879,NA,NA,Turkmenistan,Central and West Asia,0,0,0
TLS,2006,NA,NA,NA,NA,NA,89.64,-1.094152,-1.195935,-0.6023826999999999,NA,0,0,0.8624159146,0.563,NA,Timor-Leste,Southeast Asia,0,1,1
TON,2006,NA,NA,NA,NA,75.45,59.22,0.5859073,-0.6578344,-1.339974,NA,4,3.1,3.838741973,0.683,NA,Tonga,Oceania,0,1,0
TUV,2006,NA,NA,NA,NA,NA,NA,1.090415,-0.337794,-0.0989187,NA,4.5,3.4,2.747373162,NA,NA,Tuvalu,Oceania,0,1,1
TWN,2006,NA,NA,NA,NA,65.5,47.4,0.7837841999999999,1.196756,0.5339415,NA,NA,NA,NA,NA,NA,"Taipei,China",East Asia,1,0,0
UZB,2006,NA,NA,NA,NA,46.9,36.4,-1.446826,-1.155262,-1.004751,0.6999999999999993,2.5,2.5,1.6562225929999999,0.637,NA,Uzbekistan,Central and West Asia,0,0,0
VNM,2006,NA,NA,NA,NA,74.7,45.3,-0.5208681,-0.2475519,-0.7458543000000001,3,4,3.9,1.3495636979999999,0.632,35.8,Viet Nam,Southeast Asia,0,0,0
VUT,2006,NA,NA,NA,NA,75.45,70.35,0.5475889,-0.4303628,0.16703959999999998,NA,2.5,2.8,2.7762473500000002,0.58,NA,Vanuatu,Oceania,0,1,0
WSM,2006,NA,NA,NA,NA,77.76,71.7,0.9399202,0.32344229999999996,0.24113289999999998,NA,4.5,4.5,4.084642141,0.68,NA,Samoa,Oceania,0,1,0
AFG,2007,NA,NA,NA,NA,NA,53.76,-1.829666,-1.403352,-1.587331,1.1999999999999993,NA,NA,0.3927104656,0.447,NA,Afghanistan,South Asia,0,0,1
ARM,2007,NA,NA,NA,NA,87.2,61.9,-0.49837650000000006,-0.3758438,-0.74238440000000006,3.5,4,3.9,3.0933693399999997,0.741,31.2,Armenia,Central and West Asia,0,0,0
AUS,2007,NA,NA,NA,NA,42.5,69.2,1.761237,1.825559,2.010918,9,NA,NA,52.53897558,0.912,NA,Australia,Oceania,1,0,0
AZE,2007,NA,NA,NA,NA,77.1,57.300000000000004,-0.87931,-0.7891765000000001,-1.122895,2.2,NA,NA,4.326961571,0.706,NA,Azerbaijan,Central and West Asia,0,0,0
BGD,2007,NA,NA,NA,NA,77.1,33,-0.8267857,-0.7045036,-1.056078,1,3.5,3.2,0.8560459472000002,0.528,NA,Bangladesh,South Asia,0,0,1
BRN,2007,NA,NA,NA,NA,25.54,63.91,0.4125388,0.9243966,0.2146689,2.3,NA,NA,35.064866699999996,0.825,NA,Brunei Darussalam,Southeast Asia,1,0,0
BTN,2007,NA,NA,NA,NA,71.68,74.155,0.33852129999999997,0.2958726,0.8810524,2,4,4,1.840271602,0.542,38.1,Bhutan,South Asia,0,0,1
CHN,2007,NA,NA,NA,NA,52.7,34.5,-0.5422143,0.18277770000000002,-0.5896475,1.5,NA,NA,4.319023768999999,0.667,NA,People's Republic of China,East Asia,1,0,0
COK,2007,NA,NA,NA,NA,NA,NA,0.5134499,0.7285443,1.047707,NA,NA,NA,NA,NA,NA,Cook Islands,Oceania,0,1,0
FJI,2007,NA,NA,NA,NA,54.3,90.5,-0.6009281999999999,-0.4322089,-0.046587199999999995,1,NA,NA,4.534882858,0.711,NA,Fiji,Oceania,0,1,0
FSM,2007,NA,NA,NA,NA,NA,62.93,0.6169169,-0.7275328000000001,-0.3385304,3.0999999999999996,3.5,2.9,3.0129471039999998,0.589,NA,Federated States of Micronesia,Oceania,0,1,0
GEO,2007,NA,NA,NA,NA,92.7,59.95,-0.346999,0.11057260000000001,-0.13455870000000003,2.0999999999999996,3.5,4,2.9011040940000004,0.743,38.1,Georgia,Central and West Asia,0,0,0
HKG,2007,NA,NA,NA,NA,NA,NA,1.526227,1.870795,1.917979,NA,NA,NA,36.37145588,0.89,NA,"Hong Kong, China",East Asia,1,0,0
IDN,2007,NA,NA,NA,NA,59.8,47.05,-0.6814666,-0.27719570000000004,-0.6190161999999999,3.5,NA,NA,2.402667542,0.643,35.7,Indonesia,Southeast Asia,1,0,0
IND,2007,NA,NA,NA,NA,57.9,48.25,0.0937817,0.12190539999999998,-0.3981131,5.2,NA,NA,1.0759940869999998,0.555,NA,India,South Asia,1,0,0
JPN,2007,NA,NA,NA,NA,70.5,70.65,1.335137,1.447718,1.238238,8.2,NA,NA,33.990036030000006,0.882,NA,Japan,East Asia,1,0,0
KAZ,2007,NA,NA,NA,NA,16.1,78.45,-0.9477491,-0.5798956999999999,-0.9900697,2.5,NA,NA,8.438104645,0.758,30.1,Kazakhstan,Central and West Asia,1,0,0
KGZ,2007,NA,NA,NA,NA,61.5,66.8,-1.318499,-0.7781291,-1.31999,1.8000000000000007,3,3,0.9000255139000001,0.654,33.9,Kyrgyz Republic,Central and West Asia,0,0,0
KHM,2007,NA,NA,NA,NA,66,64.25,-1.142244,-0.9037987,-1.145038,1.5,2.5,3,0.8248493502,0.52,NA,Cambodia,Southeast Asia,0,0,1
KIR,2007,NA,NA,NA,NA,75.44,73.91,0.7565856,-0.6684599,0.0995177,NA,3,3,1.4914768869999997,NA,NA,Kiribati,Oceania,0,1,1
KOR,2007,NA,NA,NA,NA,71.5,57.599999999999994,1.0291489999999999,1.2368370000000002,0.6020546999999999,6.1,NA,NA,23.360905740000003,0.875,NA,Republic of Korea,East Asia,1,0,0
LAO,2007,NA,NA,NA,NA,92.4,61.2,-0.9570118000000001,-0.8988742000000001,-1.269775,2.0999999999999996,3,3.2,1.325441644,0.527,35.4,Lao People's Democratic Republic,Southeast Asia,0,0,1
LKA,2007,NA,NA,NA,NA,85.6,61.75,0.1295962,-0.084295899999999993,-0.1529482,1.0999999999999996,3,3.3,2.542593553,0.738,NA,Sri Lanka,South Asia,0,0,0
MDV,2007,NA,NA,NA,NA,75.46,59.575,-0.1642235,0.07503989999999999,-0.8566246999999999,2.0999999999999996,4,3.6,8.534904232999999,0.664,NA,Maldives,South Asia,0,1,0
MHL,2007,NA,NA,NA,NA,NA,74.2,-0.016319,-1.28839,-0.6098314,NA,3.5,2.7,3.124085573,NA,NA,Marshall Islands,Oceania,0,1,0
MMR,2007,NA,NA,NA,NA,73.8,44.5,-1.547747,-1.480536,-1.625108,0.9000000000000004,NA,NA,0.6818170593,0.482,NA,Myanmar,Southeast Asia,0,0,0
MNG,2007,NA,NA,NA,NA,57.5,54.45,-0.34744359999999996,-0.5388252,-0.6148518,4,3.5,3.7,2.411166549,0.671,35.8,Mongolia,East Asia,0,0,0
MYS,2007,NA,NA,NA,NA,61.9,88.1,0.43770529999999996,1.238987,0.1920508,4.1,NA,NA,7.8504265349999995,0.75,NA,Malaysia,Southeast Asia,1,0,0
NPL,2007,NA,NA,NA,NA,98.1,57.650000000000006,-0.5932156,-0.7107469,-0.7883176,1.5,3.5,3.7,0.6443944018,0.498,NA,Nepal,South Asia,0,0,1
NRU,2007,NA,NA,NA,NA,NA,NA,0.5139782,-0.5789648000000001,-0.35282020000000003,NA,2.5,3,2.824812659,NA,NA,Nauru,Oceania,1,1,0
NZL,2007,NA,NA,NA,NA,71.1,90.85,1.8445650000000002,1.6643259999999998,2.3285669999999996,8.9,NA,NA,36.375782810000004,0.901,NA,New Zealand,Oceania,1,0,0
PAK,2007,NA,NA,NA,NA,67.4,35.900000000000006,-0.8870074,-0.47945600000000005,-0.8167263000000001,1.3000000000000007,3,3.4,1.246579612,0.496,31.6,Pakistan,South Asia,0,0,0
PHL,2007,NA,NA,NA,NA,82,74.3,-0.46422060000000004,0.0731165,-0.719775,1.8000000000000007,NA,NA,2.250609385,0.662,NA,Philippines,Southeast Asia,0,0,0
PLW,2007,NA,NA,NA,NA,NA,85.98,0.8900374,NA,NA,NA,0,0,13.8554674,0.78,NA,Palau,Oceania,0,1,0
PNG,2007,NA,NA,NA,NA,75.9,77.4,-0.8580711999999999,-0.6539661,-1.107466,2.2,3,3.2,2.046488498,0.498,NA,Papua New Guinea,Oceania,0,1,0
SGP,2007,NA,NA,NA,NA,48.57,44.625,1.612359,2.375459,2.2418669999999996,6.4,NA,NA,46.09842873,0.882,NA,Singapore,Southeast Asia,1,1,0
SLB,2007,NA,NA,NA,NA,40.8,77.3,-0.7863566999999999,-1.078741,-0.3899688,1.5,2.5,2.9,1.910480958,0.526,NA,Solomon Islands,Oceania,0,1,1
THA,2007,NA,NA,NA,NA,71.1,56.3,-0.1189613,0.36148259999999993,-0.3694969,2,NA,NA,4.826871477000001,0.714,39.8,Thailand,Southeast Asia,1,0,0
