iso,country_name,mean_temperature,year,data_source
SLB,Solomon Islands,25.58,2012,World Bank Climate Knowledge Portal 
SLB,Solomon Islands,25.58,2013,World Bank Climate Knowledge Portal 
SLB,Solomon Islands,25.58,2014,World Bank Climate Knowledge Portal 
SLB,Solomon Islands,25.58,2015,World Bank Climate Knowledge Portal 
SLB,Solomon Islands,25.58,2016,World Bank Climate Knowledge Portal 
SLB,Solomon Islands,25.58,2017,World Bank Climate Knowledge Portal 
SLB,Solomon Islands,25.58,2018,World Bank Climate Knowledge Portal 
SLB,Solomon Islands,25.58,2019,World Bank Climate Knowledge Portal 
SLB,Solomon Islands,25.58,2020,World Bank Climate Knowledge Portal 
LKA,Sri Lanka,27.49,2010,World Bank Climate Knowledge Portal 
LKA,Sri Lanka,27.3,2011,World Bank Climate Knowledge Portal 
LKA,Sri Lanka,27.49,2012,World Bank Climate Knowledge Portal 
LKA,Sri Lanka,27.27,2013,World Bank Climate Knowledge Portal 
LKA,Sri Lanka,27.42,2014,World Bank Climate Knowledge Portal 
LKA,Sri Lanka,27.37,2015,World Bank Climate Knowledge Portal 
LKA,Sri Lanka,27.74,2016,World Bank Climate Knowledge Portal 
LKA,Sri Lanka,27.48,2017,World Bank Climate Knowledge Portal 
LKA,Sri Lanka,27.35,2018,World Bank Climate Knowledge Portal 
LKA,Sri Lanka,27.72,2019,World Bank Climate Knowledge Portal 
LKA,Sri Lanka,27.68,2020,World Bank Climate Knowledge Portal 
TJK,Tajikistan,4.2,2010,World Bank Climate Knowledge Portal 
TJK,Tajikistan,3.83,2011,World Bank Climate Knowledge Portal 
TJK,Tajikistan,3.18,2012,World Bank Climate Knowledge Portal 
TJK,Tajikistan,4.3,2013,World Bank Climate Knowledge Portal 
TJK,Tajikistan,3.48,2014,World Bank Climate Knowledge Portal 
TJK,Tajikistan,4.2,2015,World Bank Climate Knowledge Portal 
TJK,Tajikistan,4.54,2016,World Bank Climate Knowledge Portal 
TJK,Tajikistan,3.96,2017,World Bank Climate Knowledge Portal 
TJK,Tajikistan,4.26,2018,World Bank Climate Knowledge Portal 
TJK,Tajikistan,4.17,2019,World Bank Climate Knowledge Portal 
