country_name,iso,year,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Rule of Law: Estimate,data_source
Afghanistan,AFG,2015,-1.342216,-1.323176,-1.504086,WWGI
Armenia,ARM,2015,-0.5338398,-0.1610711,-0.3879299,WWGI
Australia,AUS,2015,1.882711,1.564191,1.825073,WWGI
Azerbaijan,AZE,2015,-0.9300975,-0.2576264,-0.6737632,WWGI
Bangladesh,BGD,2015,-0.8084212,-0.723855,-0.7513467,WWGI
Bhutan,BTN,2015,1.022701,0.4060493,0.5222453,WWGI
Brunei Darussalam,BRN,2015,0.5727226,1.059632,0.4078772,WWGI
Cambodia,KHM,2015,-1.118153,-0.6996924,-0.9785324,WWGI
China,CHN,2015,-0.2820595,0.4075751,-0.4098733,WWGI
"Hong Kong SAR, China",HKG,2015,1.651854,1.908817,1.825471,WWGI
Cook Islands,COK,2015,,,,WWGI
Fiji,FJI,2015,0.170082,-0.2915429,-0.4041793,WWGI
Georgia,GEO,2015,0.6799068,0.4042414,0.2714227,WWGI
India,IND,2015,-0.3519882,0.0900683,-0.0474092,WWGI
Indonesia,IDN,2015,-0.4583642,-0.2408801,-0.4221742,WWGI
Japan,JPN,2015,1.5697,1.784168,1.518585,WWGI
Kazakhstan,KAZ,2015,-0.8527389,-0.0735818,-0.4394074,WWGI
Kiribati,KIR,2015,0.2202898,-0.4900719,-0.155342,WWGI
Kyrgyz Republic,KGZ,2015,-1.149887,-0.9147314,-0.9893041,WWGI
Lao PDR,LAO,2015,-0.9117131,-0.5108117,-0.7987957,WWGI
Malaysia,MYS,2015,0.2352521,0.948642,0.5018221,WWGI
Maldives,MDV,2015,-0.4793919,-0.3761196,-0.5763371,WWGI
Marshall Islands,MHL,2015,-0.1150457,-1.60135,-0.2127134,WWGI
"Micronesia, Fed. Sts.",FSM,2015,0.6807384,-0.3972601,-0.295624,WWGI
Mongolia,MNG,2015,-0.4916313,-0.4190106,-0.3798697,WWGI
Myanmar,MMR,2015,-0.8362782,-1.238808,-1.236593,WWGI
Nauru,NRU,2015,-0.5247039,-0.5365816,-1.086243,WWGI
Nepal,NPL,2015,-0.5780753,-1.053868,-0.6769011,WWGI
New Zealand,NZL,2015,2.27633,1.884018,2.001249,WWGI
Papua New Guinea,PNG,2015,-0.9399223,-0.6067827,-0.8693526,WWGI
Niue,NIU,2015,,,,WWGI
Pakistan,PAK,2015,-0.8108425,-0.667757,-0.766732,WWGI
Palau,PLW,2015,-0.5247039,-0.5365816,0.244574,WWGI
Philippines,PHL,2015,-0.4534664,0.1119681,-0.3429787,WWGI
Samoa,WSM,2015,0.2912004,0.5082157,0.6983694,WWGI
Singapore,SGP,2015,2.093367,2.236045,1.813336,WWGI
Solomon Islands,SLB,2015,-0.3408055,-1.024599,-0.4862776,WWGI
"Korea, Rep.",KOR,2015,0.3738367,1.012077,0.9322705,WWGI
Sri Lanka,LKA,2015,-0.3441233,-0.0095256,0.0372322,WWGI
"Taiwan, China",TWN,2015,0.7740635,1.395429,1.162021,WWGI
Tajikistan,TJK,2015,-1.125875,-0.8484808,-1.055601,WWGI
Thailand,THA,2015,-0.4934061,0.3498439,-0.1477922,WWGI
Timor-Leste,TLS,2015,-0.521642,-1.045753,-1.121583,WWGI
Tonga,TON,2015,-0.467394,-0.3304715,-0.2009375,WWGI
