iso,year,data_source,country_name,A1,A2,A3,A_avg,B4,B5,B6,B_avg,C7,C8,C9,C10,C11,C_avg,D12,D13,D14,D15,D16,D_avg,portfolio,overall_rating
PLW,2019,ADB_CPA,Palau,,,,,,,,,,,,,,,,,,,,,,
PLW,2020,ADB_CPA,Palau,3.5,2,3,2.8,4,3.5,2.5,3.3,3,2.5,4.5,3.5,4,3.5,4,3.5,3.5,2.5,2.5,3.2,4.5,3.2
PNG,2006,ADB_CPA,Papua New Guinea,3,3.5,4.5,3.7,3.5,2.5,2.5,2.8,2,3,2,2.5,2.5,2.4,1.5,3,3.5,2.5,3,2.7,4.5,2.9
PNG,2007,ADB_CPA,Papua New Guinea,4,3.5,4.5,4,3.5,3,2.5,3,2.5,3,2.5,3,1.5,2.5,3,3.5,4,2.5,3,3.2,3.5,3.2
PNG,2008,ADB_CPA,Papua New Guinea,4,3.5,4,3.8,3.5,3,2.5,3,2.5,3,2.5,2.5,1.5,2.4,3,3.5,4,2.5,3,3.2,3.5,3.1
PNG,2009,ADB_CPA,Papua New Guinea,4,3.5,4,3.8,4,3,3,3.3,2.5,3.5,2.5,3,2,2.7,3,3.5,4,2.5,3,3.2,4,3.3
PNG,2010,ADB_CPA,Papua New Guinea,4,3,4,3.7,4,3,3,3.3,2.5,3.5,2.5,3,2,2.7,3,3.5,4,2.5,3,3.2,4,3.2
PNG,2011,ADB_CPA,Papua New Guinea,4,3.5,4.5,4,4.5,2.5,3,3.3,2.5,3.5,2.5,3,2.5,2.8,3,3.5,4,2.5,3,3.2,4,3.3
PNG,2012,ADB_CPA,Papua New Guinea,4,3.5,4.5,4,4.5,3,3,3.5,2.5,3.5,2.5,3,2.5,2.8,2.5,3.5,4,2.5,3,3.1,2.5,3.4
PNG,2013,ADB_CPA,Papua New Guinea,4,3.5,4.5,4,4.5,3.5,3,3.7,2.5,3.5,3,3,2.5,2.9,2.5,3.5,4,2,3,3,3.5,3.4
PNG,2014,ADB_CPA,Papua New Guinea,3.5,3,4.5,3.7,4.5,3.5,3,3.7,2,3.5,3,2.5,2.5,2.7,2.5,3.5,4,2,3,3,3.5,3.3
PNG,2015,ADB_CPA,Papua New Guinea,3.5,3,4.5,3.7,4.5,3.5,3,3.7,2,3.5,3,2.5,2.5,2.7,2.5,3.5,4,2,3,3,3.5,3.3
PNG,2016,ADB_CPA,Papua New Guinea,2.5,2.5,4,3,4,3.5,2.5,3.3,2,3,3,2.5,2,2.5,2,3,3.5,2,2.5,2.6,3.5,2.9
PNG,2017,ADB_CPA,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,
PNG,2018,ADB_CPA,Papua New Guinea,2,2.5,3.5,2.7,4,3.5,2.5,3.3,2,3,3,2.5,2,2.5,2,3,3.5,2,2,2.5,3,2.8
PNG,2019,ADB_CPA,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,
PNG,2020,ADB_CPA,Papua New Guinea,2,2.5,3,2.5,4,3.5,2.5,3.3,2,3,3,2.5,2.5,2.6,2,3,3.5,2.5,2.5,2.7,3,2.8
SLB,2006,ADB_CPA,Solomon Islands,4,3.5,3,3.5,3.5,3,2,2.8,2.5,3,2.5,2,2.5,2.5,2.5,3,3,2.5,3,2.8,4.5,2.9
SLB,2007,ADB_CPA,Solomon Islands,4,3.5,3,3.5,4,3.5,2.5,3.3,2.5,3,2.5,2.5,2.5,2.6,2.5,3.5,3,2.5,3,2.9,3.5,3.1
SLB,2008,ADB_CPA,Solomon Islands,3.5,3.5,3,3.3,4,3.5,2.5,3.3,2.5,3,2.5,2.5,2.5,2.6,3,3.5,3,2.5,3,3,3.5,3.1
SLB,2009,ADB_CPA,Solomon Islands,3.5,3,4,3.5,4,3.5,2.5,3.3,3,3.5,2.5,2.5,3,2.9,3,3.5,3,2.5,3,3,3.5,3.2
SLB,2010,ADB_CPA,Solomon Islands,3.5,3,4,3.5,4,3.5,3,3.5,3,3.5,3,2.5,2.5,2.9,3.5,3.5,3,2.5,3,3.1,3,3.3
SLB,2011,ADB_CPA,Solomon Islands,3.5,3.5,4,3.7,4,3.5,3,3.5,3,3.5,3,2.5,2.5,2.9,3.5,3.5,3,2.5,3,3.1,3.5,3.3
SLB,2012,ADB_CPA,Solomon Islands,3.5,3.5,4.5,3.8,4,3.5,3.5,3.7,3,3.5,3,2.5,2.5,2.9,3.5,3.5,3,2.5,3,3.1,4.5,3.4
SLB,2013,ADB_CPA,Solomon Islands,3.5,3.5,4.5,3.8,3.5,3.5,3.5,3.5,3,3,3,2.5,2.5,2.8,3.5,3.5,3,2.5,3,3.1,4.5,3.3
SLB,2014,ADB_CPA,Solomon Islands,3.5,3.5,4.5,3.8,3.5,3.5,3.5,3.5,3,3,3,2.5,2.5,2.8,3.5,3.5,3,2.5,3,3.1,4.5,3.3
SLB,2015,ADB_CPA,Solomon Islands,3.5,3,4,3.5,3.5,3.5,3.5,3.5,3,3,3,2.5,2.5,2.8,3.5,3.5,3,2.5,3,3.1,4.5,3.2
SLB,2016,ADB_CPA,Solomon Islands,3.5,3,4,3.5,3.5,3.5,3.5,3.5,3,3,3,2.5,2.5,2.8,3.5,3.5,3,2.5,3,3.1,4.5,3.2
SLB,2017,ADB_CPA,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,
SLB,2018,ADB_CPA,Solomon Islands,3.5,3,4,3.5,3.5,3.5,3.5,3.5,3,3,3.5,2.5,2,2.8,3.5,3,3,2.5,3,3,3,3.2
SLB,2019,ADB_CPA,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,
SLB,2020,ADB_CPA,Solomon Islands,3.5,3,4,3.5,3.5,3.5,3.5,3.5,3,3,3.5,2.5,2,2.8,3.5,3,3,2.5,3,3,3.5,3.2
