country_name,iso,year,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",CPIA quality of public administration rating (1=low to 6=high),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),data_source
Fiji,FJI,2015,,,,CPIA
Georgia,GEO,2015,,,,CPIA
India,IND,2015,,,,CPIA
Kiribati,KIR,2015,3.5,3,3,CPIA
Kyrgyz Republic,KGZ,2015,3,3,2.5,CPIA
Lao PDR,LAO,2015,2.5,3,3.5,CPIA
Maldives,MDV,2015,3,3,3.5,CPIA
Marshall Islands,MHL,2015,3.5,2,3,CPIA
"Micronesia, Fed. Sts.",FSM,2015,3.5,2.5,3,CPIA
Mongolia,MNG,2015,3.5,3.5,3.5,CPIA
Myanmar,MMR,2015,3,2.5,2.5,CPIA
Nepal,NPL,2015,3,3,3.5,CPIA
Pakistan,PAK,2015,3,3.5,3,CPIA
Papua New Guinea,PNG,2015,3,3,2,CPIA
Samoa,WSM,2015,4,4,3.5,CPIA
Solomon Islands,SLB,2015,3,2,2.5,CPIA
Sri Lanka,LKA,2015,3,3,2.5,CPIA
Tajikistan,TJK,2015,2.5,3,3,CPIA
Timor-Leste,TLS,2015,2.5,2,2,CPIA
Tuvalu,TUV,2015,3.5,2.5,3,CPIA
Uzbekistan,UZB,2015,2,3,3.5,CPIA
Vietnam,VNM,2015,3,3.5,4,CPIA
Vanuatu,VUT,2015,3,3,3.5,CPIA
Afghanistan,AFG,2016,2,2.5,2.5,CPIA
Armenia,ARM,2016,,,,CPIA
Bangladesh,BGD,2016,2.5,3,3,CPIA
Bhutan,BTN,2016,4.5,4,4,CPIA
Cambodia,KHM,2016,2,2.5,3,CPIA
Fiji,FJI,2016,,,,CPIA
Georgia,GEO,2016,,,,CPIA
India,IND,2016,,,,CPIA
Kiribati,KIR,2016,3.5,3,3,CPIA
Kyrgyz Republic,KGZ,2016,3,3,2.5,CPIA
Lao PDR,LAO,2016,2.5,3,3.5,CPIA
Maldives,MDV,2016,3,3,3.5,CPIA
Marshall Islands,MHL,2016,3.5,2,3,CPIA
"Micronesia, Fed. Sts.",FSM,2016,3.5,2.5,2.5,CPIA
Mongolia,MNG,2016,3.5,3,3.5,CPIA
Myanmar,MMR,2016,3,2.5,2.5,CPIA
Nepal,NPL,2016,3,3,3.5,CPIA
Pakistan,PAK,2016,3,3,3,CPIA
Papua New Guinea,PNG,2016,3,3,2,CPIA
Samoa,WSM,2016,4,4,3.5,CPIA
Solomon Islands,SLB,2016,3,2,2.5,CPIA
Sri Lanka,LKA,2016,,,,CPIA
Tajikistan,TJK,2016,2.5,3,3,CPIA
