country_name,iso,year,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Political Stability and Absence of Violence/Terrorism: Estimate,value.Regulatory Quality: Estimate,value.Rule of Law: Estimate,value.Voice and Accountability: Estimate,data_source
Uzbekistan,UZB,2013,-1.263031,-0.9140525,-0.536079,-1.60269,-1.226715,-1.966497,WWGI
Vanuatu,VUT,2013,0.2884517,-0.2127796,1.160387,-0.5216718,0.3092289,0.4378067,WWGI
Vietnam,VNM,2013,-0.4781188,-0.2658597,0.2505773,-0.6410623,-0.5148515,-1.3664,WWGI
Nepal,NPL,2014,-0.588211,-0.8520671,-0.7245995,-0.8319318,-0.649678,-0.4304571,WWGI
Afghanistan,AFG,2014,-1.354829,-1.332015,-2.411068,-1.118182,-1.445761,-1.135445,WWGI
Armenia,ARM,2014,-0.5239608,-0.1984497,-0.2971358,0.2134245,-0.3660013,-0.5620829,WWGI
Australia,AUS,2014,1.853722,1.607067,1.032192,1.863708,1.923046,1.361716,WWGI
Azerbaijan,AZE,2014,-1.018758,-0.3642464,-0.5599095,-0.2771416,-0.6723402,-1.479178,WWGI
Bangladesh,BGD,2014,-0.8869365,-0.7662596,-0.8955632,-0.9375781,-0.7777678,-0.4739298,WWGI
Bhutan,BTN,2014,1.280615,0.2558368,1.068039,-0.9980033,0.3789314,-0.102953,WWGI
Brunei Darussalam,BRN,2014,0.53139,1.086186,1.261507,0.9851288,0.4724531,-0.6250251,WWGI
Cambodia,KHM,2014,-1.137787,-0.6894538,0.0231748,-0.4231628,-0.9553155,-1.107751,WWGI
Cook Islands,COK,2014,,,,,,,WWGI
"Micronesia, Fed. Sts.",FSM,2014,0.7686412,-0.4979578,0.9845507,-1.033337,-0.2810299,1.110942,WWGI
Fiji,FJI,2014,0.1793656,-0.3682029,0.5531646,-0.3826222,-0.5115845,-0.1766343,WWGI
Georgia,GEO,2014,0.7860679,0.488922,-0.3215075,0.9339862,0.190843,0.284666,WWGI
"Hong Kong SAR, China",HKG,2014,1.619889,1.832899,1.153229,2.057507,1.860669,0.5356985,WWGI
India,IND,2014,-0.4279765,-0.2060476,-0.997912,-0.4477591,-0.0633363,0.413294,WWGI
Indonesia,IDN,2014,-0.5617322,-0.0375725,-0.416824,-0.1076597,-0.3422761,0.1539049,WWGI
Japan,JPN,2014,1.694852,1.812477,0.9685974,1.142823,1.601478,1.036089,WWGI
