iso,year,data_source,country_name,ims_both_sex,ims_male,ims_female,totalpop_both_in_thou,totalpop_male_in_though,totalpop_female_in_thou,ims_percent_totalpop_both_sex,ims_percent_totalpop_male,ims_percent_totalpop_female,female_migrants_perc_ims,estimated_refugee_stock_incl_asylum_seekers_both_sexes,refugees_asylum_seekers_perc_ims
LAO,2000,UNDESA,   Lao People's Democratic Republic,21948,11564,10384,5323.701,2649.923,2673.778,0.412269585,0.436390039,0.388364329,,,
MYS,2000,UNDESA,   Malaysia,1463598,822679,640919,23194.252,11818.005,11376.247,6.310175469,6.961234151,5.63383513,,50487,3.449512776
MMR,2000,UNDESA,   Myanmar,98011,52150,45861,46719.698,22629.738,24089.96,0.209785175,0.230448978,0.190373915,,,
PHL,2000,UNDESA,   Philippines,318095,161904,156191,77991.757,39280.834,38710.923,0.407857205,0.412170475,0.403480434,,196,0.061616813
SGP,2000,UNDESA,   Singapore,1351691,601671,750020,4028.872,2066.176,1962.696,33.5501103,29.12002656,38.21376311,,,
THA,2000,UNDESA,   Thailand,1257821,647728,610093,62952.639,31094.46,31858.179,1.998043323,2.083097761,1.915027849,,104965,8.344987085
TLS,2000,UNDESA,   Timor-Leste,10602,5095,5507,884.366,446.775,437.591,1.198824921,1.140395053,1.258481093,,,
VNM,2000,UNDESA,   Viet Nam,56754,32825,23929,79910.411,39570.482,40339.929,0.071022035,0.082953248,0.059318399,,15945,28.09493604
AFG,2000,UNDESA,   Afghanistan,75917,42848,33069,20779.957,10689.508,10090.449,0.365337618,0.400841648,0.327725753,,,
BGD,2000,UNDESA,   Bangladesh,987853,531907,455946,127657.862,65594.998,62062.864,0.773828564,0.810895672,0.734651885,,21919,2.2188524
BTN,2000,UNDESA,   Bhutan,32137,26200,5937,591.014,302.283,288.731,5.437603847,8.667374613,2.056239198,,,
IND,2000,UNDESA,   India,6411331,3303591,3107740,1056575.548,549387.864,507187.684,0.606802894,0.601322165,0.612739642,,171000,2.667152889
MDV,2000,UNDESA,   Maldives,27092,14907,12185,279.396,141.34,138.056,9.696631305,10.54690816,8.826128528,,,
NPL,2000,UNDESA,   Nepal,717900,241959,475941,23941.099,11919.749,12021.35,2.998609212,2.029900126,3.959131046,,129237,18.00208943
PAK,2000,UNDESA,   Pakistan,4181912,2249960,1931952,142343.583,73473.693,68869.89,2.937899912,3.062266109,2.805220104,,2001466,47.86006975
LKA,2000,UNDESA,   Sri Lanka,40132,21971,18161,18777.606,9365.939,9411.667,0.213722665,0.23458406,0.192962628,,39,0.097179308
ARM,2000,UNDESA,   Armenia,657900,270170,387730,3069.597,1440.92,1628.677,21.43278092,18.7498265,23.80643921,,280591,42.6494908
AZE,2000,UNDESA,   Azerbaijan,327540,141161,186379,8122.743,3971.455,4151.288,4.032381672,3.554390016,4.489666821,,54663,16.68895402
GEO,2000,UNDESA,   Georgia,76117,33321,42796,4362.184,2072.239,2289.945,1.744928687,1.607970895,1.868865846,,6400,8.40810857
AUS,2000,UNDESA,   Australia,4386250,2189900,2196350,18991.434,9473.544,9517.89,23.09593894,23.11595323,23.0760179,,71246,1.62430322
NZL,2000,UNDESA,   New Zealand,678813,329927,348886,3858.992,1893.983,1965.009,17.59042258,17.41974453,17.7549314,,4923,0.725236553
FJI,2000,UNDESA,   Fiji,12719,6601,6118,811.011,411.976,399.035,1.568289456,1.602277803,1.533198842,,,
PNG,2000,UNDESA,   Papua New Guinea,26304,15874,10430,5847.59,2972.407,2875.183,0.449826339,0.534045304,0.362759518,,7066,26.86283455
SLB,2000,UNDESA,   Solomon Islands,3981,2224,1757,412.665,212.115,200.55,0.964705027,1.048487849,0.87609075,,,
VUT,2000,UNDESA,   Vanuatu,2626,1320,1306,184.964,94.604,90.36,1.419735732,1.39528984,1.445329792,,,
KIR,2000,UNDESA,   Kiribati,2283,1188,1095,84.405,41.592,42.813,2.704816065,2.856318523,2.557634363,,,
MHL,2000,UNDESA,   Marshall Islands,1891,1164,727,50.754,,,3.725814714,,,,,
FSM,2000,UNDESA,   Micronesia (Fed. States of),3116,1721,1395,107.405,54.369,53.036,2.901168474,3.165406758,2.63028886,,,
NRU,2000,UNDESA,   Nauru,2394,1283,1111,10.335,,,23.16400581,,,,,
PLW,2000,UNDESA,   Palau,6310,3905,2405,19.104,,,33.02973199,,,,,
